,Player,From,To,School,Conf,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
694,Matt Carlino,2012,2015,Total,Total,124,3604,557,1397,317,731,240,666,266,359,67,358,425,525,201,16,307,234,1620
695,Ray McCallum,2011,2013,Detroit Mercy,Horizon,102,3519,546,1173,449,838,97,335,429,593,126,360,486,451,175,32,233,210,1618
696,Sean McGonagill,2011,2014,Brown,Ivy,114,4110,538,1363,289,680,249,683,293,387,70,429,499,522,132,8,327,273,1618
697,B.J. Taylor,2015,2019,Central Florida,AAC,104,3541,491,1248,311,747,180,501,456,622,35,267,302,324,93,3,178,164,1618
698,Christen Cunningham,2015,2019,Total,Total,143,4621,546,1236,461,957,85,279,440,545,65,302,367,674,125,9,326,209,1617
699,Quincy Ford,2012,2016,Northeastern,CAA,130,4148,526,1277,322,692,204,585,361,478,184,557,741,245,180,113,269,291,1617
700,Jordan Mathews,2014,2017,Total,Total,141,3799,513,1226,227,527,286,699,305,395,91,338,429,170,82,8,145,240,1617
701,Joe Cremo,2016,2019,Total,Total,136,3649,524,1150,345,703,179,447,387,460,87,417,504,344,103,22,232,219,1614
702,Ben Hansbrough,2007,2011,Total,Total,134,4275,496,1100,233,451,263,649,358,458,89,391,480,487,144,11,257,298,1613
703,C.J. Harris,2010,2013,Wake Forest,ACC,124,3970,459,1063,297,646,162,417,533,639,39,288,327,282,116,7,299,296,1613
704,Scott Machado,2009,2012,Iona,MAAC,132,4143,529,1232,406,872,123,360,432,584,105,405,510,880,191,17,440,315,1613
705,Dillon Brooks,2015,2017,Oregon,Pac-12,109,3153,587,1243,454,876,133,367,305,384,174,321,495,279,96,51,234,320,1612
706,Milik Yarbrough,2015,2019,Total,Total,124,3137,577,1279,493,1008,84,271,373,518,151,566,717,338,85,58,375,280,1611
707,Zaid Hearst,2012,2015,Quinnipiac,Total,125,3764,542,1254,405,852,137,402,389,492,238,390,628,224,73,37,193,268,1610
708,Zak Irvin,2014,2017,Michigan,Big Ten,142,4220,600,1417,359,736,241,681,169,249,85,446,531,282,103,9,199,163,1610
709,Aaron Bacote,2013,2016,Old Dominion,Total,137,3773,495,1233,322,708,173,525,446,560,75,319,394,354,112,18,283,282,1609
710,Yoeli Childs,2017,2019,Brigham Young,WCC,100,3111,626,1186,579,1037,47,149,310,473,197,685,882,184,80,142,221,243,1609
711,Noah Dickerson,2016,2019,Washington,Pac-12,134,3425,562,1040,559,1024,3,16,482,682,322,657,979,96,101,76,259,432,1609
714,Bryan Dougher,2009,2012,Stony Brook,AEC,126,4067,514,1415,177,515,337,900,244,300,75,231,306,233,125,12,204,247,1609
715,Darrion Pellum,2009,2012,Hampton,MEAC,112,3632,549,1471,352,820,197,651,314,438,98,340,438,172,146,25,285,216,1609
716,Wayne Chism,2007,2010,Tennessee,SEC,142,3375,588,1274,457,869,131,405,301,452,302,628,930,155,121,152,215,410,1608
717,ShawnDre' Jones,2014,2017,Richmond,A-10,131,3750,539,1236,312,648,227,588,303,374,46,168,214,364,104,7,187,256,1608
718,Chris Devine,2006,2009,UC-Santa Barbara,Big West,119,3555,592,1127,569,1039,23,88,400,521,251,471,722,161,130,40,302,318,1607
719,Kyle O'Quinn,2009,2012,Norfolk State,MEAC,129,3542,610,1104,556,897,54,207,333,486,332,760,1092,122,69,283,262,378,1607
720,Sharaud Curry,2006,2010,Providence,Big East,119,3929,530,1275,323,712,207,563,339,388,95,192,287,462,134,3,302,259,1606
721,Milton Doyle,2014,2017,Loyola (IL),MVC,121,3677,538,1229,398,822,140,407,390,543,83,411,494,459,151,76,380,317,1606
722,Julian Norfleet,2011,2014,Mount St. Mary's,NEC,126,4175,569,1402,327,689,242,713,225,312,78,300,378,423,153,40,279,265,1605
723,Ryan Arcidiacono,2013,2016,Villanova,Big East,144,4592,487,1228,226,499,261,729,369,461,44,289,333,535,169,4,253,282,1604
724,Jeff Adrien,2006,2009,Connecticut,Big East,133,3930,602,1169,600,1163,2,6,397,655,386,740,1126,146,78,152,256,238,1603
725,Ike Azotam,2011,2014,Quinnipiac,Total,126,3444,628,1240,628,1239,0,1,347,561,430,613,1043,97,62,99,191,359,1603
726,J.R. Blount,2006,2009,Loyola (IL),Horizon,119,3852,534,1332,451,1030,83,302,452,650,142,302,444,313,126,8,295,291,1603
727,Diamon Simpson,2006,2009,Saint Mary's (CA),WCC,128,3665,553,1093,526,998,27,95,470,777,403,727,1130,98,174,239,255,282,1603
728,Marcus Keene,2014,2017,Total,Total,86,2655,527,1199,289,574,238,625,310,385,38,259,297,293,72,3,242,172,1602
729,Josh Slater,2008,2011,Lipscomb,A-Sun,122,3313,487,1148,343,713,144,435,484,672,144,445,589,462,224,33,336,272,1602
730,Barry Stewart,2007,2010,Mississippi State,SEC,141,4431,489,1289,209,510,280,779,344,463,130,402,532,293,162,27,215,288,1602
731,Jeremy Combs,2015,2019,Total,Total,120,3396,598,1014,593,991,5,23,400,716,361,627,988,101,146,80,228,357,1601
732,Chris Wright,2008,2011,Dayton,A-10,123,3320,591,1208,566,1099,25,109,394,595,299,588,887,148,100,162,303,321,1601
733,DeWayne Jackson,2010,2013,Morgan State,MEAC,128,3620,562,1323,373,707,189,616,287,406,155,408,563,187,174,93,238,389,1600
736,Zach Lofton,2014,2018,Total,Total,99,2906,511,1238,341,710,170,528,407,524,87,307,394,188,113,16,198,212,1599
737,Melvin Johnson,2010,2014,Total,Total,124,2927,527,1199,245,534,282,665,262,319,61,348,409,104,99,12,200,192,1598
738,Shizz Alston Jr.,2016,2019,Temple,AAC,129,3799,543,1360,293,656,250,704,261,295,63,277,340,417,131,19,195,224,1597
739,Andrew Hayles,2006,2009,Alabama State,SWAC,123,3844,555,1374,294,656,261,718,226,314,129,293,422,159,107,21,230,209,1597
740,Raymar Morgan,2007,2010,Michigan State,Big Ten,135,3534,594,1126,569,1039,25,87,384,571,266,506,772,186,113,64,283,373,1597
741,Adrian Rodgers,2012,2016,Total,Total,136,3554,585,1406,418,904,167,502,260,346,101,383,484,226,110,13,257,236,1597
742,Xavier Silas,2007,2011,Total,Total,99,3034,491,1192,323,726,168,466,446,567,114,306,420,169,89,33,274,273,1596
743,Desmond Washington,2011,2015,Total,Total,116,3883,514,1323,271,628,243,695,325,384,43,303,346,126,140,7,192,205,1596
744,Fred Hunter,2009,2013,Nicholls State,Southland,108,2994,584,1076,530,880,54,196,373,581,269,340,609,152,148,14,248,298,1595
745,Bo McCalebb,2006,2008,New Orleans,Sun Belt,67,2269,573,1183,497,979,76,204,372,507,134,230,364,206,153,10,172,181,1594
746,Devontae Cacok,2016,2019,North Carolina-Wilmington,CAA,129,3064,651,1018,650,1017,1,1,290,490,450,812,1262,66,112,91,198,418,1593
747,Angel Delgado,2015,2018,Seton Hall,Big East,132,4039,644,1196,644,1191,0,5,305,566,518,937,1455,227,82,101,286,332,1593
748,A.J. Hammons,2013,2016,Purdue,Big Ten,132,3201,613,1138,607,1115,6,23,361,523,314,616,930,104,50,343,271,325,1593
749,Rodney Purvis,2013,2017,Total,Total,137,4097,568,1367,337,731,231,636,226,354,62,346,408,243,113,19,227,265,1593
750,Sherrod Wright,2010,2014,George Mason,Total,132,3530,529,1132,422,816,107,316,428,566,132,313,445,138,106,30,263,232,1593
751,Tony Hooper,2006,2010,Louisiana-Monroe,Total,122,3582,539,1331,303,638,236,693,278,394,94,314,408,339,208,19,424,370,1592
752,Robo Kreps,2008,2011,Illinois-Chicago,Horizon,125,3944,532,1287,302,662,230,625,298,365,71,343,414,246,146,4,226,169,1592
753,Ryan Broekhoff,2010,2013,Valparaiso,Horizon,134,3642,512,1103,260,485,252,618,315,385,189,652,841,246,129,100,186,236,1591
754,Jerome Robinson,2016,2018,Boston College,ACC,90,3118,562,1249,403,826,159,423,308,408,46,297,343,294,117,24,259,226,1591
755,DeAndre Bembry,2014,2016,Saint Joseph's,A-10,101,3645,580,1270,460,885,120,385,310,494,137,535,672,364,143,78,248,249,1590
756,Darryl Bryant,2009,2012,West Virginia,Big East,135,3824,455,1268,258,665,197,603,483,616,76,242,318,388,117,4,292,288,1590
757,JayVaughn Pinkston,2012,2015,Villanova,Big East,136,3571,495,1063,462,948,33,115,567,780,269,468,737,182,113,78,288,340,1590
758,Jeff Ayres,2006,2009,Arizona State,Pac-10,126,3801,611,1054,611,1045,0,9,366,479,336,606,942,101,62,131,232,395,1588
759,Ramon Galloway,2010,2013,Total,Total,126,3567,541,1315,296,680,245,635,261,340,81,376,457,323,163,33,313,292,1588
760,Velton Jones,2010,2013,Robert Morris,NEC,135,3686,469,1261,314,777,155,484,495,688,80,245,325,551,220,5,347,382,1588
761,Jermaine Crumpton,2015,2018,Canisius,MAAC,121,3104,573,1237,414,798,159,439,282,387,175,300,475,132,80,40,175,259,1587
762,Brian Stafford,2009,2012,Denver,Sun Belt,124,4101,501,1040,237,424,264,616,320,399,50,209,259,248,119,21,212,331,1586
763,Ella Ellis,2010,2013,Army,Patriot,120,2952,479,1129,286,619,193,510,434,532,130,336,466,159,75,45,206,245,1585
764,Rob Jones,2008,2012,Total,WCC,134,3943,627,1326,534,1016,93,310,238,370,301,698,999,222,150,77,302,382,1585
765,Deion Holmes,2016,2019,South Carolina Upstate,Total,123,3127,564,1354,367,766,197,588,259,322,130,258,388,156,61,15,268,251,1584
766,DeShawn Sims,2007,2010,Michigan,Big Ten,132,3312,633,1388,543,1083,90,305,228,333,280,448,728,96,114,82,169,256,1584
767,Isaiah Pineiro,2016,2019,Total,Total,101,2912,557,1129,481,904,76,225,393,495,145,577,722,181,118,63,241,328,1583
768,Tim Ambrose,2008,2011,Albany (NY),AEC,124,3083,584,1303,458,965,126,338,288,382,174,401,575,308,128,14,329,328,1582
769,Garfield Blair,2006,2009,Stetson,A-Sun,123,3350,562,1201,503,1011,59,190,399,547,210,466,676,196,117,44,327,284,1582
770,A.J. Slaughter,2007,2010,Western Kentucky,Sun Belt,135,3550,528,1255,318,693,210,562,315,402,72,268,340,332,169,10,248,232,1581
771,Jackie Carmichael,2010,2013,Illinois State,MVC,131,3273,575,1113,571,1095,4,18,426,619,264,678,942,88,82,200,241,329,1580
772,Jaren Lewis,2016,2019,Abilene Christian,Southland,126,3666,595,1180,538,1022,57,158,333,448,231,594,825,253,191,82,244,278,1580
773,Sa'eed Nelson,2017,2019,American,Patriot,89,3305,558,1203,485,935,73,268,391,593,74,330,404,384,195,25,304,228,1580
774,Tyshawn Taylor,2009,2012,Kansas,Big 12,146,4039,551,1156,431,832,120,324,358,506,47,277,324,575,172,31,379,307,1580
775,Jamelle Cornley,2006,2009,Penn State,Big Ten,122,4051,644,1260,622,1194,22,66,269,460,264,491,755,177,89,10,239,218,1579
778,Langston Hall,2011,2014,Mercer,A-Sun,138,4541,481,1221,225,544,256,677,361,447,58,380,438,633,177,35,322,242,1579
779,Harouna Mutombo,2009,2012,Western Carolina,Southern,132,3815,601,1343,503,1005,98,338,278,508,233,451,684,271,185,55,252,298,1578
780,Caleb White,2014,2017,East Carolina,Total,129,4083,539,1244,283,568,256,676,244,317,78,317,395,216,69,25,188,290,1578
781,Adam Leonard,2007,2011,Total,Total,133,4546,512,1295,144,342,368,953,185,238,28,273,301,323,137,5,205,192,1577
782,Johnathan Jordan,2012,2015,Texas A&M-Corpus Christi,Southland,126,4341,492,1145,459,1007,33,138,559,827,138,381,519,652,182,18,335,307,1576
783,Rodney McGruder,2010,2013,Kansas State,Big 12,135,3702,568,1257,380,763,188,494,252,332,254,400,654,186,116,36,171,205,1576
784,Greg Sprink,2006,2008,Navy,Patriot,88,2933,476,1203,273,607,203,596,421,490,109,361,470,216,98,10,246,258,1576
785,Khalif Wyatt,2010,2013,Temple,A-10,109,2881,482,1083,305,588,177,495,435,525,54,219,273,295,172,27,227,207,1576
786,Kwamain Mitchell,2009,2013,Saint Louis,A-10,124,3939,547,1257,347,690,200,567,281,405,60,291,351,420,172,5,280,293,1575
787,Carlos Medlock,2006,2010,Eastern Michigan,MAC,110,3542,448,1126,235,524,213,602,465,578,63,264,327,400,169,6,406,301,1574
788,Carson Puriefoy,2013,2016,Stony Brook,AEC,132,3651,494,1242,308,739,186,503,398,517,63,290,353,345,144,27,296,257,1572
789,Quinn Cook,2012,2015,Duke,ACC,143,4033,534,1235,298,606,236,629,267,313,53,326,379,509,151,9,201,264,1571
790,Keenan Evans,2015,2018,Texas Tech,Big 12,131,3390,490,1103,357,734,133,369,458,575,65,290,355,346,128,38,223,244,1571
791,Reggie Upshaw,2014,2017,Middle Tennessee,CUSA,140,3967,598,1230,511,961,87,269,288,482,288,622,910,257,151,110,213,316,1571
792,Charles Cooke,2013,2017,Total,Total,123,3725,506,1166,347,730,159,436,399,568,140,433,573,221,135,98,208,221,1570
793,Kim English,2009,2012,Missouri,Big 12,141,3409,515,1227,276,621,239,606,301,414,94,336,430,204,151,28,236,253,1570
794,Zach Jackson,2016,2019,Omaha,Summit,126,3413,536,1101,383,734,153,367,345,434,144,393,537,147,108,24,180,256,1570
795,Admiral Schofield,2016,2019,Tennessee,SEC,132,3288,585,1277,401,801,184,476,216,283,168,536,704,177,88,47,188,349,1570
796,Justin Strings,2015,2018,Sacramento State,Big Sky,119,3260,584,1313,439,898,145,415,257,399,138,484,622,144,52,68,152,249,1570
797,B.J. Tyson,2015,2018,East Carolina,AAC,120,3589,569,1355,448,939,121,416,311,418,102,370,472,268,107,18,231,199,1570
800,Brandon Bush,2006,2009,Texas State,Southland,115,3117,516,1149,414,834,102,315,435,595,223,448,671,214,123,26,274,320,1569
801,Lee Cummard,2006,2009,Brigham Young,MWC,131,3602,561,1049,408,694,153,355,294,349,202,484,686,372,129,106,213,336,1569
802,Eugene German,2017,2019,Northern Illinois,MAC,94,2533,580,1212,415,762,165,450,244,346,38,287,325,170,76,13,185,155,1569
803,Bryson Scott,2014,2018,Total,Total,123,2723,531,1196,417,834,114,362,393,515,77,357,434,235,169,14,247,213,1569
804,Byron Wesley,2012,2015,Total,Total,132,4179,583,1273,525,1103,58,170,345,516,143,530,673,273,111,39,251,213,1569
805,Devon Beitzel,2008,2011,Northern Colorado,Big Sky,115,3002,499,1044,264,460,235,584,335,397,67,239,306,186,149,3,192,194,1568
806,Jordan Loveridge,2013,2016,Utah,Pac-12,129,3993,513,1264,290,678,223,586,319,399,145,555,700,231,90,38,211,246,1568
807,Sam Merrill,2017,2019,Utah State,MWC,100,3252,520,1098,290,556,230,542,298,335,31,312,343,352,101,22,159,240,1568
808,Stuckey Mosley,2015,2019,Total,Total,130,3618,542,1336,317,713,225,623,259,336,64,385,449,286,134,19,204,273,1568
809,Jake Odum,2011,2014,Indiana State,MVC,134,4199,452,1008,378,778,74,230,590,781,94,523,617,603,204,34,326,310,1568
810,Tyler Stone,2010,2014,Total,Total,104,3029,632,1208,590,1071,42,137,262,369,186,591,777,125,77,124,152,230,1568
811,Josh Carter,2006,2009,Texas A&M,Big 12,135,3709,503,1137,204,422,299,715,261,325,129,380,509,240,88,39,146,216,1566
812,Brian Sullivan,2012,2016,Total,Total,125,4053,517,1304,166,414,351,890,180,227,40,302,342,335,95,7,176,264,1565
813,Terrence Williams,2006,2009,Louisville,Big East,140,4510,577,1444,382,835,195,609,216,367,206,764,970,546,210,90,329,265,1565
814,Alvin Abreu,2008,2012,New Hampshire,AEC,117,3844,527,1421,312,768,215,653,295,395,106,296,402,222,111,22,273,199,1564
815,Tyler Harvey,2013,2015,Eastern Washington,Big Sky,84,2635,494,1066,234,464,260,602,316,373,49,244,293,197,86,16,151,162,1564
816,Patrick Patterson,2008,2010,Kentucky,SEC,97,3295,617,1054,593,981,24,73,306,417,279,512,791,146,69,152,159,206,1564
817,Brandon Triche,2010,2013,Syracuse,Big East,147,3938,536,1242,363,722,173,520,319,425,151,233,384,438,146,14,303,250,1564
818,Darion Anderson,2008,2011,Total,Total,119,3650,538,1294,416,889,122,405,365,516,187,524,711,327,140,14,358,260,1563
819,Schadrac Casimir,2015,2019,Total,Total,138,3866,472,1066,193,439,279,627,340,387,68,236,304,270,119,4,177,228,1563
822,Joe Sherburne,2016,2019,Maryland-Baltimore County,AEC,136,4244,577,1252,311,583,266,669,143,174,147,464,611,255,118,27,164,293,1563
823,Anthony Brown,2011,2015,Stanford,Total,144,4200,518,1211,300,670,218,541,308,410,139,552,691,231,99,23,228,257,1562
824,Josh Perkins,2015,2019,Gonzaga,WCC,153,4689,531,1211,280,560,251,651,249,332,66,363,429,712,178,25,310,363,1562
825,Adam Smith,2012,2016,Total,Total,114,3384,549,1358,277,662,272,696,192,242,41,258,299,178,44,6,137,178,1562
826,Eugene Harvey,2007,2010,Seton Hall,Big East,123,4072,535,1188,490,1014,45,174,445,570,137,234,371,576,203,5,372,266,1560
827,Olin Carter III,2016,2019,San Diego,WCC,125,4061,537,1338,233,495,304,843,180,234,30,321,351,212,95,31,168,316,1558
828,Jamont Gordon,2006,2008,Mississippi State,SEC,99,3295,513,1238,384,825,129,413,403,588,132,545,677,484,118,57,403,257,1558
829,"Ed Polite, Jr.",2016,2019,Radford,Big South,131,4031,563,1119,510,935,53,184,379,562,345,774,1119,189,199,159,241,309,1558
830,Juwan Staten,2011,2015,Total,Total,129,4046,542,1269,511,1161,31,108,443,628,72,358,430,623,140,6,269,201,1558
831,Beau Beech,2013,2016,North Florida,A-Sun,133,3817,505,1193,203,424,302,769,245,322,138,534,672,184,147,53,227,375,1557
832,Wesley Jenkins,2008,2011,Saint Peter's,MAAC,113,3702,525,1439,252,721,273,718,234,317,70,424,494,146,172,38,249,233,1557
833,Erick Neal,2015,2018,Texas-Arlington,Sun Belt,132,3880,521,1281,259,541,262,740,253,350,83,368,451,756,217,10,396,297,1557
834,Angelo Warner,2012,2015,Morehead State,OVC,130,3606,488,1105,324,637,164,468,417,520,173,402,575,299,207,18,272,311,1557
835,Antonius Cleveland,2014,2017,Southeast Missouri State,OVC,121,3488,585,1184,523,969,62,215,324,529,170,402,572,242,159,76,225,315,1556
836,Frankie Sullivan,2009,2013,Auburn,SEC,134,3755,497,1268,269,555,228,713,334,431,79,355,434,287,190,26,243,339,1556
837,Isaac Haas,2015,2018,Purdue,Big Ten,139,2496,561,953,561,953,0,0,433,628,216,427,643,71,22,124,229,289,1555
838,Holton Hunsaker,2011,2014,Utah Valley,Total,127,4161,427,1220,189,515,238,705,463,531,21,266,287,438,158,1,320,319,1555
839,Nick Faust,2012,2016,Total,Total,137,3827,518,1279,324,698,194,581,323,471,136,464,600,304,156,50,299,297,1553
840,Damier Pitts,2009,2012,Marshall,CUSA,123,3771,483,1197,282,592,201,605,384,475,61,223,284,517,101,5,328,283,1551
841,Chaisson Allen,2008,2011,Northeastern,CAA,125,4418,513,1239,333,734,180,505,344,476,160,482,642,430,232,13,273,232,1550
844,Ron Curry,2013,2016,James Madison,CAA,128,4205,493,1222,302,658,191,564,373,518,76,357,433,417,131,34,209,262,1550
845,Doug Davis,2009,2012,Princeton,Ivy,122,3940,545,1291,269,604,276,687,184,228,40,213,253,171,131,16,200,197,1550
846,Patricio Garino,2013,2016,George Washington,A-10,129,3877,567,1116,465,836,102,280,314,468,206,355,561,221,220,94,289,334,1550
847,Justin Greene,2009,2012,Kent State,MAC,134,3414,574,1142,574,1141,0,1,402,547,276,538,814,155,114,121,296,291,1550
848,Mark Nwakamma,2012,2015,Hartford,AEC,121,3235,598,1174,559,1054,39,120,315,477,188,442,630,203,121,75,342,399,1550
849,Michael Snaer,2010,2013,Florida State,ACC,133,3851,525,1236,329,725,196,511,304,387,93,360,453,265,119,42,326,281,1550
850,Brandon Clark,2012,2015,Santa Clara,WCC,133,3437,493,1225,328,739,165,486,398,474,75,253,328,410,114,8,240,299,1549
851,Josh Greene,2011,2014,Cal State Northridge,Big West,125,3594,455,1167,227,577,228,590,411,472,61,256,317,360,128,11,240,253,1549
852,Wink Adams,2007,2009,Nevada-Las Vegas,MWC,103,3226,498,1262,326,745,172,517,380,498,78,331,409,279,150,7,198,185,1548
853,DaVonte Lacy,2012,2015,Washington State,Pac-12,116,3516,467,1141,218,448,249,693,365,476,79,258,337,217,100,14,202,239,1548
854,Alec Wintering,2014,2017,Portland,WCC,110,3492,471,1104,364,837,107,267,499,631,63,279,342,568,177,2,324,289,1548
855,Tommie Liddell,2006,2009,Saint Louis,A-10,125,4306,567,1319,459,1028,108,291,305,420,175,565,740,313,100,51,317,238,1547
856,E.J. Singler,2010,2013,Oregon,Total,142,4165,507,1134,339,683,168,451,364,429,192,535,727,286,110,63,253,350,1546
857,Marquis Wright,2014,2017,Siena,MAAC,121,4251,544,1295,445,1002,99,293,359,496,163,336,499,614,199,35,354,301,1546
858,Chris Douglas-Roberts,2006,2008,Memphis,CUSA,109,2845,555,1028,482,832,73,196,362,499,134,264,398,183,114,49,217,209,1545
859,Tucker Haymond,2014,2017,Western Michigan,MAC,123,3557,518,1150,391,762,127,388,382,528,188,398,586,233,82,9,252,252,1545
860,Isaiah Sykes,2011,2014,Central Florida,Total,126,3574,588,1194,554,1091,34,103,335,599,303,461,764,336,183,34,344,294,1545
861,T.T. Carey,2010,2014,Total,Total,112,3273,571,1322,334,678,237,644,165,228,99,452,551,194,154,53,185,243,1544
862,Eli Carter,2012,2016,Total,Total,122,3417,525,1384,323,727,202,657,292,375,42,305,347,300,128,12,307,252,1544
863,Steffphon Pettigrew,2008,2011,Western Kentucky,Sun Belt,136,3621,579,1233,467,897,112,336,274,440,280,390,670,116,85,52,202,296,1544
864,Denis Clemente,2006,2010,Total,Total,130,3642,547,1370,343,770,204,600,245,331,78,198,276,425,110,8,259,276,1543
865,Tim Frazier,2010,2014,Penn State,Big Ten,135,4132,508,1214,434,975,74,239,453,585,115,407,522,641,196,20,355,342,1543
866,Darryl Proctor,2006,2009,Total,Total,95,3399,594,1248,590,1219,4,29,351,504,240,552,792,161,149,39,186,248,1543
867,Mike Black,2010,2013,Albany (NY),AEC,128,3831,508,1190,328,730,180,460,346,470,70,239,309,383,114,3,340,241,1542
868,Bennie Boatwright,2016,2019,Southern California,Pac-12,106,3005,511,1182,268,543,243,639,277,365,161,448,609,190,51,70,153,262,1542
869,Justin Hurtt,2008,2011,Tulsa,CUSA,120,3252,512,1212,285,614,227,598,291,361,63,285,348,172,53,19,211,182,1542
870,Jonathan Gibson,2007,2010,New Mexico State,WAC,131,3213,530,1215,271,565,259,650,222,293,48,205,253,237,132,5,216,248,1541
871,Erik Kangas,2006,2009,Oakland,Total,119,3280,513,1209,165,348,348,861,166,191,66,193,259,148,101,7,168,138,1540
872,Craig Brackins,2008,2010,Iowa State,Big 12,96,3052,572,1285,503,1049,69,236,326,449,163,573,736,153,52,99,196,188,1539
873,Jason Calliste,2011,2014,Total,Total,134,3991,425,1024,183,410,242,614,447,560,68,288,356,261,147,13,228,272,1539
874,Justin Cobbs,2010,2014,Total,Total,136,3839,524,1157,437,901,87,256,404,491,49,297,346,575,112,14,278,198,1539
875,Carl Montgomery,2008,2011,Chicago State,Total,124,3166,601,1135,597,1113,4,22,333,581,379,542,921,84,86,148,250,393,1539
876,Toure' Murry,2009,2012,Wichita State,MVC,139,3999,519,1280,384,846,135,434,366,480,153,473,626,429,180,41,340,240,1539
877,Jimmie Taylor,2014,2017,Rider,MAAC,130,4076,517,1223,302,675,215,548,290,412,150,413,563,201,115,21,198,336,1539
878,Marques Townes,2015,2019,Total,Total,129,3748,581,1185,466,853,115,332,262,368,100,431,531,334,153,22,237,193,1539
879,Darian Anderson,2015,2018,Fairleigh Dickinson,NEC,106,3340,541,1362,371,870,170,492,286,368,85,301,386,354,201,25,269,280,1538
880,Larry Anderson,2009,2012,Long Beach State,Big West,122,3852,522,1050,434,794,88,256,406,602,190,400,590,361,205,50,294,247,1538
881,Ahmad Caver,2016,2019,Old Dominion,CUSA,136,4183,516,1368,301,721,215,647,291,446,62,378,440,607,187,33,239,236,1538
882,Mike Scott,2008,2012,Virginia,ACC,130,3457,585,1122,569,1078,16,44,352,454,334,610,944,124,85,51,211,263,1538
883,Allen Crabbe,2011,2013,University of California,Total,98,3402,533,1195,324,648,209,547,262,320,85,474,559,219,84,57,182,165,1537
886,Jarred DuBois,2009,2013,Total,Total,128,4002,487,1285,297,779,190,506,373,441,72,293,365,332,142,4,299,329,1537
887,Ryan Taylor,2015,2019,Total,Total,118,3614,553,1335,344,756,209,579,222,262,61,260,321,149,74,41,155,270,1537
888,Maurice Watson Jr.,2013,2017,Total,Total,119,3643,590,1220,503,965,87,255,270,387,69,323,392,800,187,1,378,294,1537
889,David Brown,2010,2015,Western Michigan,MAC,135,3279,455,1136,238,465,217,671,409,562,59,302,361,176,140,18,220,312,1536
890,Jon Diebler,2008,2011,Ohio State,Big Ten,144,4688,473,1109,99,209,374,900,216,263,46,358,404,269,138,24,169,190,1536
891,Scott Eatherton,2011,2015,Total,Total,124,3149,581,1002,548,905,33,97,341,494,249,565,814,125,65,151,242,338,1536
892,Kelvin Lewis,2007,2010,Total,Total,121,3478,504,1234,239,528,265,706,263,323,118,268,386,130,151,21,105,212,1536
893,Mike Singletary,2008,2011,Texas Tech,Big 12,128,3359,493,1068,452,921,41,147,509,698,172,526,698,240,93,61,295,304,1536
894,Nigel Williams-Goss,2014,2017,Total,Total,100,3415,574,1236,477,943,97,293,291,361,69,440,509,496,133,13,258,191,1536
895,Ben Aird,2011,2014,Utah Valley,Total,125,3766,577,1142,555,1077,22,65,359,502,284,735,1019,162,112,183,175,368,1535
896,Seth Hinrichs,2012,2015,Lafayette,Patriot,119,3268,520,1075,311,590,209,485,286,352,160,409,569,205,92,37,238,184,1535
897,James Palmer,2015,2019,Total,Total,141,3188,485,1219,339,756,146,463,418,563,105,282,387,256,103,44,192,186,1534
898,Roosevelt Jones,2012,2016,Butler,Total,139,4422,589,1297,588,1293,1,4,354,595,308,506,814,464,147,67,322,361,1533
899,LeAntwan Luckett,2013,2016,Total,Total,124,3384,520,1351,431,1009,89,342,404,603,138,207,345,214,126,31,264,321,1533
900,Tony Murphy,2006,2008,Norfolk State,MEAC,92,3158,521,1339,308,708,213,631,278,352,73,246,319,153,115,8,260,95,1533
901,Kevin Olekaibe,2011,2014,Total,Total,126,3716,508,1361,234,559,274,802,243,310,66,237,303,187,136,15,178,190,1533
902,Jordan Taylor,2009,2012,Wisconsin,Big Ten,136,3950,490,1215,310,731,180,484,373,477,102,310,412,464,102,9,154,300,1533
903,Tim Hardaway,2011,2013,Michigan,Big Ten,107,3560,527,1239,325,650,202,589,276,381,62,378,440,225,76,33,182,212,1532
904,Glynn Watson Jr.,2016,2019,Nebraska,Big Ten,134,4027,557,1417,373,890,184,527,234,295,64,350,414,382,177,18,182,331,1532
905,Luke Nelson,2014,2017,UC-Irvine,Big West,119,3480,514,1242,256,533,258,709,245,322,39,300,339,414,145,21,264,235,1531
908,Robby Ptacek,2009,2012,Central Connecticut State,NEC,112,3699,511,1256,394,899,117,357,392,442,80,306,386,220,97,7,293,252,1531
909,Anthony Gurley,2007,2011,Total,Total,123,3020,524,1304,337,749,187,555,295,407,84,323,407,114,75,7,244,180,1530
910,Brock Motum,2010,2013,Washington State,Total,120,3002,565,1089,477,840,88,249,312,433,173,366,539,127,53,43,228,214,1530
911,Devin Sweetney,2007,2010,Saint Francis (PA),NEC,109,3601,495,1169,410,852,85,317,454,578,238,516,754,184,121,43,340,270,1529
912,Brett Bisping,2013,2017,Siena,MAAC,137,3750,532,1116,436,842,96,274,368,477,299,725,1024,151,104,72,235,394,1528
913,Kaleo Kina,2006,2009,Navy,Patriot,118,3389,521,1306,373,841,148,465,338,447,96,376,472,392,183,13,425,319,1528
914,Derick Nelson,2006,2010,Oakland,Total,130,3637,517,1180,428,922,89,258,405,610,335,514,849,190,141,12,306,272,1528
